Region,Month,Year,Fixed Assets Rate,Women Occupation Rate,Men Occupation Rate,Operating Sale Revenue Rate,Participation Rate,Travel Attraction Rate,Travel Generation Rate,Housing Price per meter,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
1,June,2018,11.47,28.88,81.6,22414,0.208,1.108,0.089,12957650,28.49,17.29666667,23.37333333,0.47,0.0001,14.2
1,July,2018,12.12,29.52,75.02,21057,0.263,1.264,0.101,13842450,33.79354839,23.29677419,29.40322581,0.0001,0.0001,15.13548387
1,August,2018,12.12,29.95,75.42,22615,0.252,1.108,0.088,14373950,32.0483871,22.9483871,27.97419355,0.0001,0.0001,14.47741935
1,September,2018,12.1,22.18,68.46,19778,0.242,1.316,0.105,16081750,26.95333333,16.78333333,22.55333333,0.043333333,0.0001,13.21666667
1,October,2018,11.58,28.48,78.82,21947,0.28,1.274,0.102,17318450,17.97741935,10.06451613,14.20645161,1.7,0.022580645,11.35806452
1,November,2018,11.64,27.59,78.83,23182,0.246,1.325,0.106,18351850,9.396666667,3.896666667,6.72,3.966666667,0.105,8.11
1,December,2018,11.55,31.35,69.17,23045,0.243,1.286,0.103,19885700,6.680645161,-1.722580645,2.429032258,1.774193548,0.702258065,10.07419355
1,January,2019,10.38,26.34,69.03,18719,0.069,1.043,0.083,20171550,3.983870968,-4.351612903,0.058064516,4.3,1.939677419,10.23870968
1,February,2019,11.06,26.9,77.29,18529,0.094,1.215,0.097,19761450,3.957142857,-4.189285714,-0.035714286,1.582142857,1.0125,10.92142857
1,March,2019,11.73,29.47,75.49,17869,0.084,1.29,0.103,20806450,7.164516129,-1.583870968,2.719354839,3.15483871,0.679677419,11.25806452
1,April,2019,11.8,24.22,67.72,15710,0.106,1.202,0.096,22143900,13.07666667,4.253333333,8.746666667,4.743333333,0.186666667,11.73
1,May,2019,11.62,26.66,71.4,18310,0.129,1.207,0.096,24071300,22.61935484,11.26129032,17.18709677,0.725806452,0.0001,12.80967742
1,June,2019,10.99,37.51,67.1,18877,0.112,1.062,0.085,25745350,29.92333333,19.24,25.27666667,0.083333333,0.0001,14.38333333
1,July,2019,11.33,26.55,81.96,20759,0.107,1.246,0.099,26777800,33.62580645,23.82580645,29.40322581,0.0001,0.0001,15.85483871
1,August,2019,11.18,28.3,71.55,18536,0.11,1.068,0.085,26420650,30.97419355,21.42580645,27.03870968,0.0001,0.0001,13.53225806
1,September,2019,10.5,37.12,67.07,18673,0.085,1.285,0.102,23847350,27.44666667,17.01666667,22.91333333,0.083333333,0.0001,14.31333333
1,October,2019,11.51,26.1,70.79,17352,0.105,1.259,0.1,25402850,19.27741935,11.13870968,15.53870968,2.196774194,0.0001,11.22580645
1,November,2019,10.69,28.12,67.49,18311,0.09,1.282,0.102,23225900,7.853333333,1.503333333,5.063333333,1.123333333,0.555333333,8.006666667
1,December,2019,11.24,25.9,69.91,18411,0.105,1.276,0.102,27061100,6.361290323,-1.890322581,2.158064516,1.732258065,0.623225806,9.474193548
1,January,2020,10.28,33.68,72.05,26353,0.091,1.321,0.08,27514600,1.45483871,-7.035483871,-2.429032258,1.483870968,1.038709677,9.95483871
1,February,2020,10.9,35.99,73.76,25831,0.101,1.409,0.086,27077350,5.389655172,-2.131034483,1.889655172,5.093103448,1.112758621,10.25517241
1,March,2020,11.25,29,70.34,21677,0.109,1.634,0.099,28145925,10.42903226,1.632258065,6.041935484,2.370967742,0.494516129,11.02903226
1,April,2020,11.18,23.41,75.28,22919,0.123,1.388,0.084,29214500,13.15,5.356666667,9.383333333,5.51,0.298666667,10.47333333
1,May,2020,11.15,33.95,62.07,23044,0.093,1.397,0.085,32260050,22.71612903,11.86774194,17.7,1.374193548,0.0001,12.89677419
1,June,2020,10.85,24.64,80.96,24728,0.104,1.359,0.083,37144250,29.68333333,18.55333333,24.96,0.01,0.0001,15.62
1,July,2020,11.18,36.65,69.89,24492,0.116,1.439,0.087,41685300,30.72903226,21.3483871,26.59677419,0.119354839,0.0001,13.57741935
1,August,2020,10.53,30.17,79.36,21173,0.101,1.331,0.081,47595350,29.64193548,20.01612903,25.5,0.029032258,0.0001,14.47096774
1,September,2020,10.88,23.21,64.16,22420,0.12,1.549,0.094,48444650,25.39666667,15.4,21.34,0.176666667,0.0001,12.75
1,October,2020,10.52,26.01,59.43,23702,0.138,1.475,0.09,53664350,17.81612903,8.65483871,13.76774194,0.983870968,0.0001,9.719354839
1,November,2020,10.36,33.66,76.51,25343,0.135,1.601,0.097,53187400,10.2,4.45,7.563333333,4.05,0.746666667,8.186666667
1,December,2020,11.11,24.71,61.11,23726,0.101,1.536,0.093,55312300,3.467741935,-2.674193548,0.864516129,1.641935484,0.806129032,7.690322581
1,January,2021,10.35,25.37,75.36,37655,0.139,1.316,0.082,56065800,5.34516129,-2.235483871,1.748387097,0.738709677,0.42,8.790322581
1,February,2021,10.12,30.98,81.89,39111,0.122,1.446,0.09,55987000,8.4,-0.364285714,3.764285714,2.385714286,0.0275,11.03571429
1,March,2021,10.71,25.28,63.6,37756,0.177,1.569,0.097,65497200,11.12903226,2.103225806,6.735483871,2.970967742,0.591612903,12.08709677
1,April,2021,10.86,20.42,68.67,34807,0.137,1.362,0.085,61657450,20.51333333,9.413333333,15.04,0.47,0.014,12.82333333
1,May,2021,10.89,36.63,62.41,38546,0.142,1.412,0.088,58388300,24.03870968,13.77741935,19.29032258,1.261290323,0.0001,12.71290323
1,June,2021,10.66,25.57,69.37,43238,0.179,1.364,0.085,62167250,31.40333333,19.64333333,26.51333333,0.0001,0.0001,13.49666667
1,July,2021,10.79,37.94,71.18,37548,0.159,1.445,0.09,60333850,32.30967742,23.20967742,28.31290323,0.022580645,0.0001,14.20967742
1,August,2021,10.59,29.22,67.04,38130,0.178,1.33,0.083,62790150,30.27419355,20.54516129,26.19032258,0.016129032,0.0001,14.01290323
1,September,2021,10.9,35.45,76.58,37733,0.158,1.529,0.095,66939900,28.40666667,18.56,24.14333333,0.0001,0.0001,14.16
1,October,2021,10.38,34.61,64.71,40589,0.143,1.508,0.094,64874400,18.26451613,9.816129032,14.37741935,1.006451613,0.038387097,11.82903226
1,November,2021,10.24,33.79,63.54,39466,0.136,1.579,0.098,66294800,9.933333333,2.813333333,6.47,1.346666667,0.170333333,9.316666667
1,December,2021,10.25,31.81,68.57,37445,0.138,1.522,0.095,65041850,6.35483871,-1.932258065,2.44516129,3.325806452,1.368387097,10.42903226
1,January,2022,10.62,36.32,62.26,103091,0.186,1.293,0.079,66615000,3.106451613,-5.425806452,-0.725806452,2.038709677,1.153870968,10.94193548
1,February,2022,10.1,22.7,71.81,108987,0.169,1.459,0.089,66778050,6.164285714,-3.321428571,1.689285714,2.792857143,1.2775,11.45714286
1,March,2022,11.19,21.05,66.24,92672,0.198,1.613,0.099,71321800,9.793548387,1.141935484,5.770967742,5.067741935,0.842258065,12.57741935
1,April,2022,10.38,24.91,59.46,97323,0.184,1.432,0.088,67188600,19.18333333,8.263333333,13.74,1.32,0.0001,13.76
1,May,2022,11,31.86,71.49,95106,0.191,1.464,0.09,70466250,21.74516129,9.964516129,16.3483871,0.893548387,0.0001,14.74193548
1,June,2022,11,35.92,76.56,115197,0.176,1.38,0.085,75784950,30.76333333,18.77,25.64,0.053333333,0.0001,16.34333333
1,July,2022,10.22,30.4,76.85,99171,0.184,1.512,0.093,78148950,31.79354839,21.72903226,27.36129032,0.190322581,0.0001,14.41290323
1,August,2022,10.65,29.6,71.72,108781,0.213,1.338,0.082,78334800,29.47096774,19.50645161,25.3516129,0.022580645,0.0001,13.88709677
1,September,2022,11.06,32.93,70.9,115076,0.182,1.594,0.098,81067900,28.24666667,17.36,23.62666667,0.023333333,0.0001,13.67333333
1,October,2022,10.61,36.13,79.89,114058,0.224,1.532,0.094,81285300,21.51290323,11.70967742,17.07741935,0.809677419,0.0001,12.81612903
1,November,2022,10.82,28.14,65.68,112871,0.201,1.614,0.099,88117000,11.86333333,3.993333333,8.036666667,1.193333333,0.126,10.32333333
1,December,2022,10.77,29.77,62.94,102144,0.173,1.56,0.096,92253400,4.177419355,-3.925806452,0.183870968,2.135483871,1.361612903,9.864516129
2,January,2016,3.33,23.87,63.42,8946,0.176,1.262,0.136,3853820,4.877419355,-5.080645161,-0.316129032,1.916129032,0.779032258,8.906451613
2,February,2016,3.24,26.72,66.21,8366,0.215,1.381,0.148,3979123,8.786206897,-2.403448276,2.906896552,0.744827586,0.282413793,9.444827586
2,March,2016,3.47,21.21,64.49,8516,0.205,1.594,0.171,4170534,13.56451613,2.441935484,8.212903226,2.438709677,0.223548387,9.306451613
2,April,2016,3.61,28.13,63.84,7593,0.226,1.363,0.146,4193493,18.13333333,6.736666667,12.85666667,1.263333333,0.072333333,9.876666667
2,May,2016,3.46,35.92,64.36,8142,0.224,1.379,0.148,4505627,26.82258065,14.15483871,21.10645161,0.361290323,0.0001,13.7516129
2,June,2016,3.34,30.76,82.83,9365,0.196,1.347,0.145,4834206,31.09333333,18.55333333,25.60333333,0.063333333,0.0001,14.16666667
2,July,2016,3.42,34.41,73.14,8306,0.238,1.425,0.153,5099198,33.93870968,23.80645161,29.29354839,0.074193548,0.0001,13.70967742
2,August,2016,3.46,32.29,69.83,8231,0.243,1.29,0.139,5284497,32.26129032,20.81290323,27.20967742,0.003225806,0.0001,11.23548387
2,September,2016,3.45,23.52,76.54,9157,0.27,1.48,0.159,5468103,28.90666667,18.47333333,23.99333333,0.103333333,0.0001,11.99333333
2,October,2016,3.42,29.35,66.65,7717,0.275,1.443,0.155,5647613,20.95483871,11.56129032,16.4,0.074193548,0.002258065,10.42580645
2,November,2016,3.3,34.56,68.15,9406,0.207,1.504,0.162,5841076,11.46,2.496666667,6.92,0.583333333,0.102666667,7.643333333
2,December,2016,3.29,35.62,84.15,8855,0.156,1.479,0.159,6016633,6.609677419,-3.396774194,1.596774194,3.038709677,0.873870968,8.519354839
2,January,2017,3.59,30.97,69.93,9650,0.173,1.292,0.137,6143843,6.487096774,-1.516129032,2.138709677,1.548387097,0.476451613,15.5
2,February,2017,3.35,39.85,63.7,9762,0.201,1.426,0.151,6343604,6.25,-1.275,2.210714286,1.382142857,0.5775,14.58214286
2,March,2017,3.51,29.17,67.92,9066,0.188,1.567,0.166,6648756,12.33548387,4.138709677,8.14516129,2.216129032,0.054193548,17
2,April,2017,3.62,21.04,61.05,7611,0.249,1.364,0.145,6685358,19.71,9.933333333,14.86,2.046666667,0.002333333,17.96
2,May,2017,3.72,41.8,66.24,8022,0.194,1.418,0.15,7182968,27.6,16.12580645,22.37419355,1.019354839,0.0001,20.39677419
2,June,2017,3.48,28.11,69.52,8932,0.183,1.315,0.139,7706796,32.91666667,21.13666667,27.61666667,0.006666667,0.0001,18.29333333
2,July,2017,3.64,36.6,66.72,9219,0.257,1.428,0.151,8129251,34.1483871,24.04193548,29.50322581,0.132258065,0.0001,16.59354839
2,August,2017,3.65,27.11,83.22,8950,0.21,1.295,0.137,8424660,32.89032258,22.80967742,28.44516129,0.0001,0.0001,15.60322581
2,September,2017,3.45,25.48,67.79,8653,0.191,1.501,0.159,8717368,29.66333333,19.67666667,25.29333333,0.0001,0.0001,15.67333333
2,October,2017,3.46,28.45,69.74,9548,0.192,1.454,0.154,9003548,22.07419355,12.53548387,17.52258065,0.377419355,0.0001,16.81612903
2,November,2017,3.67,41.11,75.22,9244,0.176,1.516,0.161,9311969,15.46,6.686666667,11.23333333,0.216666667,0.0001,15.08666667
2,December,2017,3.57,26.02,63.23,8251,0.177,1.486,0.158,9591846,10.94516129,2.361290323,6.4,0.393548387,0.015806452,12.41612903
2,January,2018,3.61,40.79,78.54,8237,0.197,1.276,0.135,9794648,7.909677419,-0.270967742,3.590322581,1.167741935,0.643548387,14.32903226
2,February,2018,3.48,29.69,73.13,8245,0.157,1.407,0.149,10113111,9.117857143,1.725,5.232142857,3.064285714,0.075,14.26785714
2,March,2018,3.79,33.21,70.08,7156,0.164,1.525,0.161,10599590,19.2483871,8.167741935,13.6,0.348387097,0.0001,20.43548387
2,April,2018,3.58,28.87,57.58,7150,0.245,1.392,0.147,10657942,18.22,9.856666667,14.09,1.97,0.0001,16.8
2,May,2018,3.58,33.56,59.83,8195,0.212,1.407,0.149,11451244,23.27096774,13.89032258,18.63870968,1.329032258,0.0001,16.52258065
2,June,2018,3.45,27.78,66.99,7201,0.236,1.336,0.141,12286340,31.76,21.31666667,26.81,0.29,0.0001,18.17666667
2,July,2018,3.72,28.75,61.3,8578,0.195,1.431,0.151,12959828,36.75483871,25.86129032,31.96774194,0.0001,0.0001,17.52580645
2,August,2018,3.53,41.14,64.02,8436,0.201,1.308,0.138,13430775,34.73870968,24.74516129,30.20322581,0.0001,0.0001,16.17741935
2,September,2018,3.52,38.89,64.52,7789,0.177,1.486,0.157,13897418,29.74333333,19.36666667,25.05333333,0.01,0.0001,15.16333333
2,October,2018,3.71,25.69,68.41,7502,0.188,1.442,0.152,14353651,20.8483871,12.15483871,16.55483871,1.361290323,0.0001,14.33225806
2,November,2018,3.39,34.01,67.31,7494,0.209,1.47,0.155,14845343,11.68333333,5.596666667,8.64,2.596666667,0.0001,10.88666667
2,December,2018,3.47,33.25,72.66,8398,0.208,1.474,0.156,15291529,9.567741935,2.116129032,5.470967742,1.419354839,0.036129032,14.51290323
2,January,2019,3.29,35.19,58.85,10222,0.105,1.279,0.137,15614840,6.987096774,-0.683870968,2.909677419,3.061290323,0.501290323,14.66774194
2,February,2019,3.47,31.86,59.43,9520,0.096,1.365,0.146,16122541,7.564285714,-0.271428571,3.367857143,1.125,0.2325,16.21071429
2,March,2019,3.49,35.06,63.64,8217,0.096,1.553,0.166,16898097,11.02580645,2.574193548,6.677419355,2.616129032,0.038387097,17.44193548
2,April,2019,3.49,24.74,55.47,8884,0.13,1.348,0.144,16991122,16.23666667,6.736666667,11.46666667,2.616666667,0.007,18.29
2,May,2019,3.28,42.28,64.43,9183,0.1,1.338,0.143,18255821,26.81612903,15.46451613,21.15483871,0.370967742,0.0001,18.21290323
2,June,2019,3.4,33.49,75.56,9783,0.092,1.326,0.142,19587150,33.02666667,22.34666667,28.22666667,0.003333333,0.0001,17.41333333
2,July,2019,3.46,29.74,59.98,8563,0.089,1.385,0.148,19233800,36.27741935,26.48064516,31.77741935,0.0001,0.0001,17.70967742
2,August,2019,3.52,32.8,62.37,8785,0.109,1.304,0.139,18413350,33.8516129,23.82903226,29.48064516,0.0001,0.0001,15.08709677
2,September,2019,3.34,30.32,63.47,9053,0.093,1.455,0.155,19175050,30.02,19.92666667,25.40666667,0.0001,0.0001,16.13666667
2,October,2019,3.42,30.72,71.35,8856,0.125,1.398,0.149,20137100,21.82580645,13.24193548,17.66451613,1.874193548,0.0001,14
2,November,2019,3.46,44,72.38,10166,0.093,1.498,0.16,18288900,10.51333333,3.823333333,7.07,1.576666667,0.583333333,10.68
2,December,2019,3.32,45.85,77.03,9444,0.085,1.429,0.153,18807600,8.929032258,1.787096774,5.009677419,0.964516129,0.036129032,13.19032258
2,January,2020,3.48,32.44,66.97,17161,0.095,1.354,0.117,19943800,4.906451613,-1.748387097,1.177419355,1.138709677,0.747419355,14.29354839
2,February,2020,3.46,31.24,73.02,16142,0.086,1.514,0.131,21355500,8.551724138,0.568965517,4.510344828,3.986206897,0.202758621,15.14827586
2,March,2020,3.45,33.25,65.95,14661,0.108,1.709,0.148,21547025,13.88709677,5.012903226,9.238709677,2.112903226,0.009032258,16.60967742
2,April,2020,3.37,26.72,60.2,14730,0.118,1.505,0.13,21738550,16.04,7.753333333,11.98333333,3.616666667,0.028,16.29333333
2,May,2020,3.35,44.81,65.06,15813,0.103,1.515,0.131,25468000,26.29677419,15.58709677,21.27419355,0.696774194,0.0001,19.53548387
2,June,2020,3.44,40.5,57.95,16654,0.107,1.433,0.124,27639100,32.61666667,21.28,27.66333333,0.0001,0.0001,19.19666667
2,July,2020,3.23,29.05,56.64,17026,0.106,1.551,0.134,30797950,33.68064516,24.18064516,29.39354839,0.041935484,0.0001,15.29677419
2,August,2020,3.34,30.98,60.93,14737,0.09,1.364,0.118,33890750,32.30322581,22.36451613,27.86451613,0.006451613,0.0001,15.77419355
2,September,2020,3.54,43.8,60.01,15345,0.098,1.688,0.146,36942550,28.16333333,18.01,23.83,0.173333333,0.0001,13.92666667
2,October,2020,3.24,41.64,67.77,16976,0.099,1.622,0.14,40471900,20.7516129,10.6483871,15.91935484,0.55483871,0.0001,12.6516129
2,November,2020,3.47,39.38,57.03,14811,0.116,1.703,0.147,39640350,12.42666667,6.336666667,9.376666667,4.016666667,0.058333333,10.29
2,December,2020,3.32,43.11,71.56,17357,0.079,1.66,0.144,39888200,5.919354839,0.212903226,2.896774194,1.306451613,0.173870968,9.983870968
2,January,2021,3.64,41.47,66.75,27449,0.089,1.369,0.119,41730100,7.25483871,-0.016129032,3.622580645,0.429032258,0.074516129,11.23548387
2,February,2021,3.78,32.14,60.52,27085,0.1,1.545,0.134,42254100,11.33571429,1.857142857,6.185714286,1.75,0.005,16.34642857
2,March,2021,3.64,31.98,53.95,21477,0.121,1.73,0.151,44757300,14.67741935,4.532258065,9.790322581,1.806451613,0.191935484,18.07096774
2,April,2021,3.7,28.51,49.71,23104,0.094,1.422,0.124,42090850,24.30333333,13.34,18.95,0.14,0.0001,18.73333333
2,May,2021,3.66,37.63,68.84,22194,0.115,1.531,0.133,43355550,27.48064516,17.01935484,22.51612903,0.516129032,0.0001,18.41612903
2,June,2021,3.9,39.62,58.01,25592,0.117,1.392,0.121,43758400,34.35666667,22.75666667,29.32,0.0001,0.0001,16.86
2,July,2021,3.9,38.27,62.89,26210,0.11,1.619,0.141,46604150,35.13225806,25.33870968,30.8516129,0.0001,0.0001,15.7
2,August,2021,3.89,40.48,61.38,25646,0.127,1.381,0.12,46379900,33.20645161,23.49677419,28.92258065,0.0001,0.0001,16.80967742
2,September,2021,3.77,36.46,68.04,25729,0.101,1.645,0.143,47933000,30.96333333,20.73,26.32666667,0.0001,0.0001,14.7
2,October,2021,3.77,47.45,56.06,25704,0.138,1.629,0.142,47853000,20.82903226,12.00967742,16.63225806,0.893548387,0.0001,13.61935484
2,November,2021,3.78,45.78,67.93,25223,0.11,1.71,0.149,46924750,12.12666667,4.736666667,8.243333333,1.32,0.035,12.76333333
2,December,2021,3.59,38.35,67.77,24828,0.088,1.645,0.143,49344050,8.958064516,1.619354839,5.067741935,2.116129032,0.286774194,13.8
2,January,2022,3.81,38.99,65.61,74937,0.161,1.42,0.124,47675950,6.396774194,-1.070967742,2.409677419,1.625806452,0.401935484,16.20967742
2,February,2022,3.59,38.3,56.86,74134,0.138,1.543,0.134,47552800,9.917857143,1.482142857,5.457142857,1.35,0.0975,17.39642857
2,March,2022,3.82,27.79,50.93,71827,0.186,1.806,0.157,52027300,13.48064516,4.422580645,8.990322581,2.593548387,0.009032258,17.81612903
2,April,2022,3.62,38.45,60.94,64524,0.158,1.457,0.127,49502700,23.70333333,12.34666667,17.92666667,0.486666667,0.0001,21.04
2,May,2022,3.77,37.05,63.99,68162,0.138,1.496,0.13,52636650,25.22258065,13.70645161,19.91612903,0.509677419,0.0001,21.27419355
2,June,2022,3.8,31.52,62.11,68836,0.151,1.444,0.126,56442650,33.9,22.11666667,28.7,0.0001,0.0001,19.83666667
2,July,2022,3.83,39.06,61.8,78733,0.165,1.549,0.135,60319050,34.76129032,24.37419355,29.91290323,0.225806452,0.0001,17.15483871
2,August,2022,3.7,34.24,68.84,68967,0.162,1.445,0.126,61579000,32.55806452,21.87096774,28.05806452,0.0001,0.0001,15.4483871
2,September,2022,3.66,37.77,63.23,65995,0.174,1.676,0.146,61894700,31.2,19.98,26.13,0.003333333,0.0001,15.96
2,October,2022,3.62,46.71,67.21,71454,0.172,1.552,0.135,61784350,24.29677419,14.40322581,19.6516129,0.132258065,0.0001,15.74516129
2,November,2022,3.74,38.65,57.1,79298,0.16,1.752,0.152,65419250,14.65,6.013333333,10.32,0.693333333,0.0001,14.75
2,December,2022,3.55,38.45,64.52,80359,0.147,1.596,0.139,66943800,7.322580645,0.809677419,3.658064516,1.687096774,0.483225806,13.87741935
3,January,2016,2.64,22.59,86.07,3915,0.122,0.732,0.071,2016723,4.777419355,-5.180645161,-0.412903226,1.916129032,0.779032258,8.906451613
3,February,2016,2.57,19.3,86.54,4347,0.139,0.805,0.078,2082294,8.686206897,-2.503448276,2.848275862,0.744827586,0.282413793,9.444827586
3,March,2016,2.69,16.61,67.36,3379,0.13,0.891,0.086,2182461,13.46451613,2.341935484,8.141935484,2.438709677,0.223548387,9.306451613
3,April,2016,2.64,14.29,72.49,3851,0.139,0.785,0.076,2194475,18.03333333,6.636666667,12.76333333,1.263333333,0.072333333,9.876666667
3,May,2016,2.57,24.22,74.29,3861,0.123,0.784,0.076,2357816,26.72258065,14.05483871,21.03548387,0.361290323,0.0001,13.7516129
3,June,2016,2.69,24.72,83.87,4033,0.158,0.774,0.075,2529763,30.99333333,18.45333333,25.51666667,0.063333333,0.0001,14.16666667
3,July,2016,2.64,18,87,4078,0.173,0.841,0.081,2668435,33.83870968,23.70645161,29.20322581,0.074193548,0.0001,13.70967742
3,August,2016,2.52,23.97,90.32,3794,0.175,0.77,0.074,2765403,32.16129032,20.71290323,27.11935484,0.003225806,0.0001,11.23548387
3,September,2016,2.51,18.95,71.12,3677,0.144,0.871,0.084,2861485,28.80666667,18.37333333,23.90333333,0.103333333,0.0001,11.99333333
3,October,2016,2.57,19.03,67.38,4344,0.181,0.837,0.081,2955423,20.85483871,11.46129032,16.31290323,0.074193548,0.002258065,10.42580645
3,November,2016,2.49,24.3,83.57,4341,0.164,0.901,0.087,3056663,11.36,2.396666667,6.84,0.583333333,0.102666667,7.643333333
3,December,2016,2.54,27.7,76.31,4152,0.14,0.866,0.083,3148533,6.509677419,-3.496774194,1.522580645,3.038709677,0.873870968,8.519354839
3,January,2017,2.41,24.39,77.27,6575,0.109,0.744,0.071,3215103,6.458064516,-2.125806452,1.932258065,1.580645161,0.49,12.17419355
3,February,2017,2.45,19.69,76.3,5972,0.116,0.805,0.077,3319639,5.603571429,-2.457142857,1.364285714,1.767857143,0.7775,12.23928571
3,March,2017,2.48,19.22,67.53,5234,0.136,0.943,0.09,3479326,12.21612903,3.064516129,7.54516129,2.567741935,0.02483871,14.50967742
3,April,2017,2.58,18.58,67.95,5094,0.125,0.76,0.073,3498480,19.39333333,8.746666667,14.21666667,2.13,0.0001,15.76333333
3,May,2017,2.59,18.69,74.3,5769,0.126,0.758,0.072,3758882,27.52903226,15.01935484,21.87419355,0.716129032,0.0001,18.66129032
3,June,2017,2.51,19.93,86.6,5660,0.136,0.767,0.073,4033003,32.76666667,20.10666667,27.22666667,0.013333333,0.0001,17.88333333
3,July,2017,2.42,27.76,82.58,5601,0.17,0.794,0.076,4254076,34.04193548,23.35806452,29.17741935,0.096774194,0.0001,15.16129032
3,August,2017,2.45,28.05,85.36,6125,0.179,0.759,0.072,4408665,32.6516129,22.07096774,28.0483871,0.0001,0.0001,14.61935484
3,September,2017,2.43,19.16,79.97,5951,0.16,0.898,0.086,4561841,29.42,19.12333333,24.82333333,0.006666667,0.0001,14.42333333
